Textbox_UWAGA,Textbox_UWAGA2,Textbox_TYTUL,Textbox_PARAMETRY
Jak interpretować wskaźniki koniunktury ? ...,"Wskaźniki koniunktury prezentowane są w postaci tzw. ""sald"" (wskaźniki proste). Saldo oblicza się jako różnicę między procentowym udziałem odpowiedzi pozytywnych i negatywnych na dane pytanie. Wartość salda mieści się w przedziale od -100 do 100. Dodatnia wartość wskaźnika oznacza dobrą koniunkturę, zaś ujemna – koniunkturę złą. Wzrost (spadek) wskaźnika oznacza poprawę (pogorszenie) koniunktury z punktu widzenia badanych przedsiębiorstw.

Wskaźniki dot. barier działalności mogą przyjmować wartości od 0 do 100%. Są obliczane jako procentowy udział podmiotów wskazujących daną barierę w ogólnej liczbie wszystkich podmiotów zgłaszających występowanie barier. Suma wskaźników może być większa od 100%.",Koniunktura gospodarcza w budownictwie według klas wielkości,"Rok: 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021
Miesiąc: Styczeń, Luty, Marzec, Kwiecień, Maj, Czerwiec, Lipiec, Sierpień, Wrzesień, Październik, Listopad, Grudzień
Jednostka terytorialna: POLSKA
Klasa wielkości: ogółem"

Textbox28,Textbox76,Textbox78,Textbox82
Tablica,Wykres,Mapa,Metadane

Textbox12,NAZWA_ZMIENNEJ,DATA,WARTOSC_OST
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 I,"-20,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 II,"-18,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 III,"-11,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 IV,"-7,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 V,"-6,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 VI,"-4,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 VII,"-4,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 VIII,"-4,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 IX,"-6,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 X,"-10,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 XI,"-13,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 XII,"-18,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 I,"-12,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 II,"-11,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 III,"-6,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 IV,"-3,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 V,"-2,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 VI,"-2,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 VII,"-1,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 VIII,"-0,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 IX,"-5,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 X,"-7,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 XI,"-11,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 XII,"-16,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 I,"-12,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 II,"-9,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 III,"-6,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 IV,"-2,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 V,"-1,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 VI,"-1,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 VII,"-1,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 VIII,"-3,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 IX,"-5,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 X,"-9,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 XI,"-12,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 XII,"-17,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 I,"-9,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 II,"-6,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 III,"-1,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 IV,"2,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 V,"2,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 VI,"6,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 VII,"6,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 VIII,"5,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 IX,"2,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 X,"0,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 XI,"-1,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 XII,"-6,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 I,"0,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 II,"3,2"
