Textbox_UWAGA,Textbox_UWAGA2,Textbox_TYTUL,Textbox_PARAMETRY
Jak interpretować wskaźniki koniunktury ? ...,"Wskaźniki koniunktury prezentowane są w postaci tzw. ""sald"" (wskaźniki proste). Saldo oblicza się jako różnicę między procentowym udziałem odpowiedzi pozytywnych i negatywnych na dane pytanie. Wartość salda mieści się w przedziale od -100 do 100. Dodatnia wartość wskaźnika oznacza dobrą koniunkturę, zaś ujemna – koniunkturę złą. Wzrost (spadek) wskaźnika oznacza poprawę (pogorszenie) koniunktury z punktu widzenia badanych przedsiębiorstw.

Wskaźniki dot. barier działalności mogą przyjmować wartości od 0 do 100%. Są obliczane jako procentowy udział podmiotów wskazujących daną barierę w ogólnej liczbie wszystkich podmiotów zgłaszających występowanie barier. Suma wskaźników może być większa od 100%.",Koniunktura gospodarcza w budownictwie według klas wielkości,"Rok: 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021
Miesiąc: Styczeń, Luty, Marzec, Kwiecień, Maj, Czerwiec, Lipiec, Sierpień, Wrzesień, Październik, Listopad, Grudzień
Jednostka terytorialna: POLSKA
Klasa wielkości: 250 i więcej pracujących"

Textbox28,Textbox76,Textbox78,Textbox82
Tablica,Wykres,Mapa,Metadane

Textbox12,NAZWA_ZMIENNEJ,DATA,WARTOSC_OST
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 I,"-4,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 II,"0,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 III,"7,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 IV,"6,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 V,"9,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 VI,"6,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 VII,"3,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 VIII,"3,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 IX,"2,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 X,"0,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 XI,"-3,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2014 XII,"-8,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 I,"-0,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 II,"-1,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 III,"5,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 IV,"6,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 V,"8,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 VI,"8,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 VII,"8,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 VIII,"7,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 IX,"6,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 X,"5,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 XI,"6,5"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2015 XII,"-3,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 I,"0,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 II,"3,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 III,"5,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 IV,"5,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 V,"7,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 VI,"6,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 VII,"10,3"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 VIII,"6,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 IX,"7,7"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 X,"1,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 XI,"-0,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2016 XII,"-3,6"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 I,"-2,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 II,"1,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 III,"3,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 IV,"8,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 V,"10,9"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 VI,"9,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 VII,"10,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 VIII,"6,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 IX,"6,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 X,"10,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 XI,"5,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2017 XII,"3,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 I,"9,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 II,"13,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 III,"17,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 IV,"9,8"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 V,"12,4"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 VI,"12,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 VII,"10,0"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 VIII,"10,2"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 IX,"5,1"
Wyszczególnienie,Wskaźnik ogólnego klimatu koniunktury,2018 X,"3,9"
