id,url,place,kind,purchaser,date,contractor,price_info
2021/S 028-068290,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Wznoszenie barier drogowych,Ředitelství silnic a dálnic ČR,04/02/2021,"Značky Morava, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 115 707.32 CZKCałkowita końcowa wartość umowy/części: 36 587 773.60 CZK
2021/S 028-068289,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Wznoszenie barier drogowych,Ředitelství silnic a dálnic ČR,04/02/2021,"Značky Morava, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 49 940.92 CZKCałkowita końcowa wartość umowy/części: 36 587 773.60 CZK
2021/S 028-068285,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Roboty budowlane,"Krajská správa a údržba silnic Středočeského kraje, příspěvková organizace",29/01/2021,"M-silnice, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 106 101 481.00 CZKCałkowita końcowa wartość umowy/części: 66 596 000.20 CZK
2021/S 027-067658,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Roboty budowlane w zakresie budowy kolei i systemów transportu,"Správa železnic, státní organizace",02/03/2020,,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)
2021/S 027-067657,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Roboty budowlane w zakresie budowy kolei i systemów transportu,"Správa železnic, státní organizace",24/02/2020,,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)
2021/S 027-067656,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Roboty budowlane w zakresie budowy kolei i systemów transportu,"Správa železnic, státní organizace",27/02/2020,,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)
2021/S 027-065902,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Wznoszenie barier drogowych,Ředitelství silnic a dálnic ČR,30/07/2018,"Značky Morava, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 36 773.00 CZKCałkowita końcowa wartość umowy/części: 64 999 000.00 CZK
2021/S 027-065897,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Wymiana nawierzchni drogowej,Ředitelství silnic a dálnic ČR,04/02/2021,"„Společnost pro stavbu I/35 Gajer-Hřebeč"" Eurovia CS, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Całkowita końcowa wartość umowy/części: 94 795 507.49 CZK
2021/S 027-065854,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Malowanie budowli,"Čepro, a.s.",02/08/2019,Ing. Václav Pech,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 31 620 161.00 CZKCałkowita końcowa wartość umowy/części: 31 620 161.00 CZK
2021/S 026-063295,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Prostějov,Roboty budowlane w zakresie budowy placówek zdrowotnych,Agel Středomoravská nemocniční a.s.,02/08/2019,,
2021/S 026-063294,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Olomouc,Roboty budowlane w zakresie budowy placówek zdrowotnych,Fakultní nemocnice Olomouc,02/08/2019,,
2021/S 025-062370,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Budowa kolei międzymiastowej,"Správa železnic, státní organizace",22/01/2021,"Eurovia CS, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)
2021/S 025-058074,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Wznoszenie barier drogowych,Ředitelství silnic a dálnic ČR,30/07/2018,"Značky Morava, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 21 300.00 CZKCałkowita końcowa wartość umowy/części: 64 999 000.00 CZK
2021/S 025-058074,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Wznoszenie barier drogowych,Ředitelství silnic a dálnic ČR,30/07/2018,"Značky Morava, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 36 408.18 CZKCałkowita końcowa wartość umowy/części: 64 999 000.00 CZK
2021/S 025-058074,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Wznoszenie barier drogowych,Ředitelství silnic a dálnic ČR,30/07/2018,"Značky Morava, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 35 905.44 CZKCałkowita końcowa wartość umowy/części: 64 999 000.00 CZK
2021/S 025-058069,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Okrouhlice,Roboty budowlane w zakresie kanałów ściekowych,Obec Okrouhlice,01/02/2021,"„Okrouhlice - MBM a Mobiko“ správce: MBM Trade CZ, s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 154 564 000.00 CZKCałkowita końcowa wartość umowy/części: 148 750 948.33 CZK
2021/S 025-058057,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Budowa kolei,"Správa železnic, státní organizace",15/01/2021,"GJW Praha, spol. s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 199 999 999.00 CZKCałkowita końcowa wartość umowy/części: 237 377 702.00 CZK
2021/S 025-058056,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Budowa kolei,"Správa železnic, státní organizace",15/01/2021,"Strabag Rail, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 349 998 004.00 CZKCałkowita końcowa wartość umowy/części: 398 363 180.00 CZK
2021/S 025-058042,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Pardubice,Roboty drogowe,Pardubický kraj,27/01/2021,"Eurovia CS, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 33 277 799.00 CZKCałkowita końcowa wartość umowy/części: 24 396 466.76 CZK
2021/S 025-057950,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Wznoszenie barier drogowych,Ředitelství silnic a dálnic ČR,30/07/2018,"Značky Morava, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 134 885.70 CZKCałkowita końcowa wartość umowy/części: 64 999 000.00 CZK
2021/S 025-057946,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Wznoszenie barier drogowych,Ředitelství silnic a dálnic ČR,30/07/2018,"Značky Morava, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 65 198.18 CZKCałkowita końcowa wartość umowy/części: 64 999 000.00 CZK
2021/S 025-057944,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Wznoszenie barier drogowych,Ředitelství silnic a dálnic ČR,30/07/2018,"Značky Morava, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 69 379.18 CZKCałkowita końcowa wartość umowy/części: 64 999 000.00 CZK
2021/S 025-057943,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Pardubice,Roboty budowlane w zakresie mostów drogowych,Pardubický kraj,28/01/2021,"SaM silnice a mosty, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 11 121 312.00 CZKCałkowita końcowa wartość umowy/części: 10 985 399.41 CZK
2021/S 023-056670,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Roboty budowlane w zakresie krycia powierzchni,"Dopravní podnik hl. m. Prahy, akciová společnost",22/12/2020,"Eurovia CS, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Początkowa szacunkowa całkowita wartość zamówienia/części: 10 163 007.65 CZKCałkowita końcowa wartość umowy/części: 8 683 482.45 CZK
2021/S 023-056669,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Budowa kolei,"Správa železnic, státní organizace",24/04/2019,"GJW Praha, spol. s.r.o.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 23 375 507.64 CZK
2021/S 023-056668,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Budowa kolei,"Správa železnic, státní organizace",24/04/2019,"Strabag Rail, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT) (Zgoda na publikację? tak)Całkowita końcowa wartość umowy/części: 63 362 557.00 CZK
2021/S 023-054467,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Náchod,Roboty budowlane,"Vodovody a kanalizace Náchod, a.s.",22/01/2021,"Vces, a.s.",V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 190 804 768.79 CZKCałkowita końcowa wartość umowy/części: 189 519 832.87 CZK
2021/S 022-053757,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Roboty budowlane w zakresie budowy kolei i systemów transportu,"Správa železnic, státní organizace",22/01/2021,,
2021/S 022-053757,https://ted.europa.eu/TED/search/expertSearch.do,Czechy-Praga,Roboty budowlane w zakresie budowy kolei i systemów transportu,"Správa železnic, státní organizace",22/01/2021,,
