id,url,place,kind,purchaser,date,contractor,price_info
2021/S 028-068306,https://ted.europa.eu/TED/search/expertSearch.do,Węgry-Budapeszt,Roboty budowlane w zakresie budowy mostów,BKK Budapesti Közlekedési Központ Zártkörűen Működő Részvénytársaság,02/02/2021,A-Híd Építő Zártkörűen Működő Részvénytársaság,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 20 157 675 890.00 HUFCałkowita końcowa wartość umowy/części: 18 721 210 427.00 HUF
2021/S 028-068283,https://ted.europa.eu/TED/search/expertSearch.do,Węgry-Győr,Roboty budowlane,Széchenyi István Egyetem,02/02/2021,,
2021/S 028-068283,https://ted.europa.eu/TED/search/expertSearch.do,Węgry-Győr,Roboty budowlane,Széchenyi István Egyetem,02/02/2021,,
2021/S 028-068283,https://ted.europa.eu/TED/search/expertSearch.do,Węgry-Győr,Roboty budowlane,Széchenyi István Egyetem,02/02/2021,,
2021/S 028-068283,https://ted.europa.eu/TED/search/expertSearch.do,Węgry-Győr,Roboty budowlane,Széchenyi István Egyetem,02/02/2021,,
2021/S 028-068283,https://ted.europa.eu/TED/search/expertSearch.do,Węgry-Győr,Roboty budowlane,Széchenyi István Egyetem,02/02/2021,,
2021/S 028-068283,https://ted.europa.eu/TED/search/expertSearch.do,Węgry-Győr,Roboty budowlane,Széchenyi István Egyetem,02/02/2021,,
2021/S 026-063233,https://ted.europa.eu/TED/search/expertSearch.do,Węgry-Budapeszt,Roboty renowacyjne,"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",29/01/2021,Hunép Építőipari Zártkörűen Működő Részvénytársaság,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Całkowita końcowa wartość umowy/części: 1 899 998 980.00 HUF
2021/S 025-058036,https://ted.europa.eu/TED/search/expertSearch.do,Węgry-Budapeszt,"Roboty w zakresie budowy tam, kanałów, kanałów irygacyjnych i akweduktów",Országos Vízügyi Főigazgatóság,14/01/2021,Szabadics Építőipari Zártkörűen Működő Részvénytársaság,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 1 051 091 529.00 HUFCałkowita końcowa wartość umowy/części: 1 662 464 900.00 HUF
2021/S 025-058036,https://ted.europa.eu/TED/search/expertSearch.do,Węgry-Budapeszt,"Roboty w zakresie budowy tam, kanałów, kanałów irygacyjnych i akweduktów",Országos Vízügyi Főigazgatóság,14/01/2021,Szabadics Építőipari Zártkörűen Működő Részvénytársaság,V.2.4)Informacje na temat wartości zamówienia/części (bez VAT)Początkowa szacunkowa całkowita wartość zamówienia/części: 777 872 064.00 HUFCałkowita końcowa wartość umowy/części: 861 240 000.00 HUF
